Label,area0,area1,area2,area3,area4
Parasitized,112,15161,0,0,0
Parasitized,155.5,18932,0,0,0
Parasitized,83,28.5,15203,0,0
Parasitized,40,186.5,13742.5,0,0
Parasitized,13598.5,0,0,0,0
Parasitized,37.5,102,16504,0,0
Parasitized,99.5,13636.5,0,0,0
Parasitized,115.5,13139.5,0,0,0
Parasitized,76,12480,0,0,0
Parasitized,132.5,12605,0,0,0
Parasitized,29.5,167.5,16161,0,0
Parasitized,1,158,13567,0,0
Parasitized,126,14063.5,0,0,0
Parasitized,128.5,13275.5,0,0,0
Parasitized,14821,0,0,0,0
Parasitized,27,150.5,11350,0,0
Parasitized,428.5,283.5,9302.5,0,0
Parasitized,151,13688.5,0,0,0
Parasitized,137.5,16357.5,0,0,0
Parasitized,65,15024.5,0,0,0
Parasitized,160.5,13611,0,0,0
Parasitized,0,0,0,111.5,10252
Parasitized,8239.5,0,0,0,0
Parasitized,95.5,13284.5,0,0,0
Parasitized,30.5,12870.5,0,0,0
Parasitized,101.5,11899,0,0,0
Parasitized,279.5,26.5,4664.5,0,0
Parasitized,139,13526.5,0,0,0
Parasitized,113,130.5,10786.5,0,0
Parasitized,2,133,9201.5,0,0
Parasitized,169.5,16039.5,0,0,0
Parasitized,120.5,10693.5,0,0,0
Parasitized,150.5,12297.5,0,0,0
Parasitized,127.5,11723,0,0,0
Parasitized,90,12743.5,0,0,0
Parasitized,127.5,14850.5,0,0,0
Parasitized,1,338,9104,0,0
Parasitized,184,8069,0,0,0
Parasitized,176,17707,0,0,0
Parasitized,126,16115,0,0,0
Parasitized,93.5,14887.5,0,0,0
Parasitized,87,11,11657.5,0,0
Parasitized,82.5,13919,0,0,0
Parasitized,169.5,9907,0,0,0
Parasitized,12.5,83,14131,0,0
Parasitized,112,12689.5,0,0,0
Parasitized,11530,0,0,0,0
Parasitized,105,13281.5,0,0,0
Parasitized,47,10656,0,0,0
Parasitized,134.5,194.5,9539,0,0
Parasitized,16512,0,0,0,0
Parasitized,23.5,13103,0,0,0
Parasitized,206.5,12225.5,0,0,0
Parasitized,25,124,13797.5,0,0
Parasitized,136,12493,0,0,0
Parasitized,86,57.5,14326,0,0
Parasitized,109,13944.5,0,0,0
Parasitized,80.5,256,36,4,41.5
Parasitized,244.5,95.5,11305.5,0,0
Parasitized,10005,0,0,0,0
Parasitized,299,7223.5,0,0,0
Parasitized,213.5,226.5,20,8929.5,0
Parasitized,27,274,16977.5,0,0
Parasitized,233,12631.5,0,0,0
Parasitized,4,176.5,21,8.5,20
Parasitized,0,127,910.5,7261,0
Parasitized,36,38,24.5,200.5,11735.5
Parasitized,309,13532.5,0,0,0
Parasitized,56,84.5,25,18574,0
Parasitized,224.5,11680,0,0,0
Parasitized,2,208.5,7,2,11
Parasitized,185.5,9.5,15173.5,0,0
Parasitized,9.5,143.5,17243.5,0,0
Parasitized,49,17667.5,0,0,0
Parasitized,17,32,19,35.5,232.5
Parasitized,100.5,245,29.5,152,16014
Parasitized,160.5,143,11781,0,0
Parasitized,10498.5,0,0,0,0
Parasitized,162.5,15073,0,0,0
Parasitized,28.5,102.5,12490,0,0
Parasitized,33,207,9567,0,0
Parasitized,23.5,39,224.5,13739,0
Parasitized,98.5,13.5,204,13780.5,0
Parasitized,119,11520,0,0,0
Parasitized,73.5,45,179.5,39,144
Parasitized,67,14057.5,0,0,0
Parasitized,7,0,7402,0,0
Parasitized,31.5,25.5,90.5,78,326.5
Parasitized,193.5,15977,0,0,0
Parasitized,179,13823,0,0,0
Parasitized,8750.5,0,0,0,0
Parasitized,214.5,2,17104.5,0,0
Parasitized,186,12882.5,0,0,0
Parasitized,350.5,16291,0,0,0
Parasitized,9070,0,0,0,0
Parasitized,36.5,435,14377.5,0,0
Parasitized,28,24,345,36,12879.5
Parasitized,171.5,56.5,180,246,14946.5
Parasitized,177,12637,0,0,0
Parasitized,20,185.5,15989,0,0
Parasitized,93.5,15290,0,0,0
Parasitized,13278.5,0,0,0,0
Parasitized,126,10646.5,0,0,0
Parasitized,217.5,12313,0,0,0
Parasitized,265.5,10,12468,0,0
Parasitized,241.5,161,8.5,11126.5,0
Parasitized,11581.5,0,0,0,0
Parasitized,2,167,13803.5,0,0
Parasitized,179.5,9437,0,0,0
Parasitized,172.5,248,10412.5,0,0
Parasitized,172.5,12040,0,0,0
Parasitized,155.5,166.5,14704,0,0
Parasitized,74.5,7631.5,0,0,0
Parasitized,8.5,46,9.5,536.5,62
Parasitized,215.5,15020,0,0,0
